County,Latitude,Longitude,Electricty,Pressure Lamp,Lantern,Tin Lamp,Gas Lamp,Fuel wood,Solar,Other Lighting,No. of households with electricity,No. of households with Pressure Lamp,No. of households with Lantern,No. of households with Tin Lamp,No. of households with Gas Lamp,No. of households with Fuel wood,No. of households with Solar,No. of households with Other,Households
Baringo,0.512912,35.952537,9.56,0.39,39.3,20.1,0.72,1.72,27.78,0.425670363,10583,437,43488,22238,796,1902,30734,471,110649
Bomet,-0.690131,35.278005,4.32,0.33,64.78,25.98,0.65,2.83,0.83,0.285283053,7552,581,113311,45434,1135,4958,1444,499,174914
Bungoma,0.737046,34.672536,4.51,0.5,26.68,66.51,0.63,0.45,0.55,0.16911352,12219,1351,72256,180120,1704,1223,1493,458,270824
Busia,0.428414,34.210571,6,0.32,21.58,70.64,0.46,0.41,0.37,0.219160318,9253,494,33283,108949,709,633,566,338,154225
Elgeyo Marakwet,0.806011,35.564093,7.15,0.28,46.83,28.23,0.58,1.49,15.14,0.293984914,5547,220,36321,21891,449,1155,11744,228,77555
Embu,-0.5982,37.653906,14.89,0.75,35.32,43.69,0.59,3.43,0.85,0.475384066,19611,992,46512,57535,778,4515,1114,626,131683
Garissa,-0.564679,40.408457,11.57,0.56,20.56,32.09,17.52,0.37,10.4,6.924637387,11405,552,20272,31642,17277,364,10251,6827,98590
Homa Bay,-0.640985,34.411083,3.32,0.48,21.23,72.94,0.52,1.01,0.4,0.109573101,6850,980,43788,150440,1067,2081,823,226,206255
Isiolo,0.949302,38.614718,18.51,0.49,31.13,19.51,2.49,1.37,23.25,3.240120028,5800,154,9751,6113,781,429,7283,1015,31326
Kajiado,-2.221971,36.980268,39.83,0.82,18.9,35.76,0.41,1.05,2.19,1.026149518,69098,1430,32788,62031,706,1827,3804,1780,173464
Kakamega,0.308499,34.654844,5.61,0.5,28.16,63.72,0.76,0.72,0.38,0.135796603,19959,1791,100156,226650,2718,2555,1367,483,355679
Kericho,-0.297842,35.319833,11.76,0.4,46.14,39.09,0.46,1.7,0.28,0.166168944,15005,505,58865,49875,587,2171,361,212,127581
Kiambu,-1.060698,36.79929,53,0.69,26.09,18.59,0.3,0.79,0.15,0.386775832,255704,3345,125860,89701,1428,3811,735,1866,482450
Kilifi,-3.279972,39.63501,16.73,0.72,16.89,62.58,0.46,0.56,1.74,0.332892814,33423,1433,33735,125005,911,1121,3471,665,199764
Kirinyaga,-0.517766,37.302006,16.44,0.67,33.45,44.82,0.65,3.47,0.27,0.237971729,25353,1028,51589,69116,1005,5349,413,367,154220
Kisii,-0.782524,34.766895,7.77,0.38,32.62,57.34,0.55,0.94,0.26,0.127927975,20965,1033,87971,154632,1490,2536,711,345,269683
Kisumu,-0.167225,34.953647,18.33,0.55,23.18,56.14,0.41,1,0.23,0.172901257,41551,1256,52543,127278,921,2265,513,392,226719
Kitui,-1.519146,38.376101,4.79,0.58,54.03,31.36,0.67,2.92,5.02,0.621438408,9850,1192,111037,64450,1372,6002,10311,1277,205491
Kwale ,-4.242667,39.174233,10.56,0.58,13.16,73.02,0.34,0.82,1.25,0.267110212,12888,713,16063,89118,419,998,1522,326,122047
Laikipia,0.311627,36.814178,17.67,0.53,35.27,34.34,0.72,5.94,5.12,0.415074578,18222,542,36366,35413,740,6127,5276,428,103114
Lamu,-2.03752,40.688214,16.98,0.61,32.51,39.45,0.71,5.29,2.52,1.929318428,3767,135,7211,8752,158,1173,560,428,22184
