METRO_AREA,STATE,LAT,LON,TOTAL,NAT_RES,CONSTRUCTION,DURABLE,NONDURABLE,RETAIL,TRANSPORT,INFORMATION,FINANCE,BUSINESS,SOCIAL,ARTS_ENT,GOVERNMENT,OTHER
Abilene,TX,32.9263633,-99.7836628,0.6,-0.66,0.26,0.07,-0.02,0.81,0.26,0.06,-0.93,0.38,0.16,0.14,0.1,-0.02
Akron,OH,41.0638893,-81.4856989,2.3,0.16,0.29,0.3,-0.16,0.41,-0.02,0.03,-0.26,1.06,0.28,0.27,0.03,-0.11
Albany,GA,31.5785074,-84.155741,-1.4,-1.07,-0.03,-0.14,-0.08,(D),(D),0.19,-0.13,(D),-0.22,0.07,-0.26,-0.12
Albany,OR,44.6335621,-123.1020801,2.6,-0.18,0.3,0.25,0.01,0.5,0.48,0.08,0.24,0.07,0.45,0.05,0.08,0.25
Albany-Schenectady-Troy,NY,42.6502031,-73.7779845,2.4,0.14,0.14,-0.09,0.58,0.23,0.08,0.43,0.55,0.13,0.16,0.04,0,0.01
Albuquerque,NM,35.0853336,-106.6055534,-0.1,0,-0.23,-0.29,0.03,0.22,0,0.09,-0.22,0.22,0.1,0.11,0,-0.19
Alexandria,LA,31.3112936,-92.4451371,-2.3,-0.2,-0.15,-0.78,0.09,-0.27,-0.26,0.08,-0.78,0.99,-0.26,0.18,-0.17,-0.75
Allentown-Bethlehem-Easton,PA,40.7093369,-75.2065773,3.1,-0.14,-0.05,0.31,0.26,0.33,0.13,0.21,0.89,0.91,0.37,0.02,-0.04,-0.09
Altoona,PA,40.504032,-78.406764,0.8,-0.44,-0.16,0.11,1.82,0.36,-1.11,0.08,-0.13,0.38,0.1,-0.08,0.03,-0.13
Amarillo,TX,35.2097455,-101.8366747,2.4,(D),(D),-0.41,-0.19,0.44,0.85,(D),0.08,0.38,(D),(D),0.01,0.08
Ames,IA,42.0193432,-93.462393,1.8,-0.88,1.38,0.92,-1.03,-0.31,0.16,-0.04,0.51,0.59,0.18,0.05,0.04,0.18
Anchorage,AK,61.2180556,-149.9002778,-1.4,-1.72,0.01,0,0.03,0.24,-0.01,0.15,-0.05,0.14,0.11,0,0,-0.33
Ann Arbor,MI,42.2808256,-83.7430378,-0.2,-0.02,0.05,-1.03,0.37,0.3,-0.32,0.76,-0.62,0.16,0.35,0.06,-0.04,-0.19
Anniston-Oxford-Jacksonville,AL,33.816231,-85.7548299,-1.5,0.01,-0.12,-0.47,0.12,0.23,-0.07,-0.12,-0.19,-0.93,-0.11,0.01,0.16,-0.06
Appleton,WI,44.255014,-88.438024,2.3,0.26,-0.12,0.44,-0.11,0.52,0.04,0.12,0.38,0.39,0.38,0.01,0.04,-0.04
Asheville,NC,35.563463,-82.518682,2.3,-0.01,-0.01,-0.08,0.76,0.36,-0.1,0.03,0.53,0.15,0.46,0.12,0.15,-0.11
Athens-Clarke County,GA,33.9624701,-83.367705,2,-0.02,-0.04,0.22,-0.74,1.08,0.01,0.25,1.1,0.23,-0.16,0.09,0.07,-0.11
Atlanta-Sandy Springs-Roswell,GA,33.9396782,-84.3772958,3,(D),(D),0.06,-0.07,0.44,0,0.45,0.52,1.14,0.22,0.14,0.03,-0.04
Atlantic City-Hammonton,NJ,39.701021,-74.8901732,-2.5,(D),-0.32,-0.09,(D),0.15,0.1,0.13,-1.86,-0.05,0.43,-0.63,-0.06,-0.07
Auburn-Opelika,AL,32.6523118,-85.3755813,4,-0.08,-0.28,0.14,0.26,1.06,0.06,0.09,2.15,0.22,0.22,0.07,0.08,0.03
Augusta-Richmond County,GA,33.4713063,-81.950799,0.2,-0.04,-0.45,-0.2,(D),(D),(D),0.17,0.19,0.36,0.24,-0.14,0.08,-0.19
Austin-Round Rock,TX,30.5104204,-97.6794855,6.1,0.94,0.27,1.21,0.09,-0.15,0.5,0.4,0.91,1.09,0.35,0.39,0,0.09
Bakersfield,CA,35.3685177,-119.0030184,0.7,-1.61,-0.16,0.11,1.31,0.54,-0.01,0.01,-0.13,0.16,0.19,0.07,0.01,0.22
