Metro,STATE,LAT,LON,INCOME
Abilene,TX,32.9263633,-99.7836628,40215
Akron,OH,41.0638893,-81.4856989,43426
Albany,GA,31.5785074,-84.155741,33692
Albany,OR,44.6335621,-123.1020801,34239
Albany-Schenectady-Troy,NY,42.6502031,-73.7779845,49879
Albuquerque,NM,35.0853336,-106.6055534,37345
Alexandria,LA,31.3112936,-92.4451371,38695
Allentown-Bethlehem-Easton,PA,40.7093369,-75.2065773,45193
Altoona,PA,40.504032,-78.406764,38336
Amarillo,TX,35.2097455,-101.8366747,41510
Ames,IA,42.0193432,-93.462393,37990
Anchorage,AK,61.2180556,-149.9002778,57131
Ann Arbor,MI,42.2808256,-83.7430378,48365
Anniston-Oxford-Jacksonville,AL,33.816231,-85.7548299,32753
Appleton,WI,44.255014,-88.438024,43801
Asheville,NC,35.563463,-82.518682,36470
Athens-Clarke County,GA,33.9624701,-83.367705,33414
Atlanta-Sandy Springs-Roswell,GA,33.9396782,-84.3772958,43472
Atlantic City-Hammonton,NJ,39.701021,-74.8901732,43336
Auburn-Opelika,AL,32.6523118,-85.3755813,33064
Augusta-Richmond County,GA,33.4713063,-81.950799,36117
Austin-Round Rock,TX,30.5104204,-97.6794855,47026
Bakersfield,CA,35.3685177,-119.0030184,36165
Baltimore-Columbia-Towson,MD,39.257179,-76.7318533,53690
Bangor,ME,44.8011821,-68.7778138,35914
Barnstable Town,MA,41.7070509,-70.2964209,59892
Baton Rouge,LA,30.4504036,-91.1871141,42249
Battle Creek,MI,42.3128245,-85.1425426,35084
Bay City,MI,43.5944677,-83.8888647,36419
Beaumont-Port Arthur,TX,30.0782484,-94.1199832,39752
Beckley,WV,37.773757,-81.1915439,34034
Bellingham,WA,48.7425264,-122.4623723,40840
Bend-Redmond,OR,44.2765685,-121.173246,41675
Billings,MT,45.7701745,-108.5278692,42606
Binghamton,NY,42.0986867,-75.9179738,38050
Birmingham-Hoover,AL,32.7075816,-86.4877423,44256
Bismarck,ND,46.8054125,-100.7831022,50173
Blacksburg-Christiansburg-Radford,VA,37.127,-80.4131,32627
Bloomington,IL,40.4842027,-88.9936873,43064
Bloomington,IN,39.165325,-86.5263857,33675
Bloomsburg-Berwick,PA,41.0043954,-76.4574245,40189
Boise City,ID,43.6144166,-116.2011147,37991
Boston-Cambridge-Newton,MA,42.3752152,-71.0548525,64311
Boulder,CO,40.1692244,-105.0935246,58627
Bowling Green,KY,36.7497889,-86.1951163,33600
Bremerton-Silverdale,WA,47.5637637,-122.6586657,46573
Bridgeport-Stamford-Norwalk,CT,41.1849461,-73.0920375,98688
Brownsville-Harlingen,TX,26.2580093,-97.8327503,25211
Brunswick,GA,31.1499528,-81.4914894,34194
Buffalo-Cheektowaga-Niagara Falls,NY,42.8953167,-78.7342618,43676
Burlington,NC,36.0956918,-79.4377991,34801
Burlington-South Burlington,VT,44.487754,-73.19747,49490
California-Lexington Park,MD,38.3004029,-76.5074542,50234
Canton-Massillon,OH,40.9146904,-81.1057945,40069
Cape Coral-Fort Myers,FL,26.5596896,-81.9248622,42243
Cape Girardeau,MO,37.3058839,-89.5181476,37507
Carbondale-Marion,IL,37.7275106,-89.2137511,35992
Carson City,NV,39.1637984,-119.7674034,41046
Casper,WY,42.8514751,-106.2707779,59890
Cedar Rapids,IA,41.8602912,-91.4927992,46356
Chambersburg-Waynesboro,PA,39.7525867,-77.5806467,39972
Champaign-Urbana,IL,40.1105875,-88.2072697,39237
Charleston,WV,38.4819031,-81.3042658,42046
Charleston-North Charleston,SC,32.7789836,-79.8065341,41305
Charlotte-Concord-Gastonia,NC,35.2606857,-81.1819383,42425
Charlottesville,VA,38.0293059,-78.4766781,50971
